The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
suspend-5	decided-3	-xcomp
A spokesman for British Prime Minister Tony Blair said: "He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do."	it	believes that it is absolutely the right thing to do
for-3	believes-20	-prep-nsubj-conj
A spokesman for British Prime Minister Tony Blair said: "He clearly welcomes the decision by the Commonwealth troika and believes that it is absolutely the right thing to do."	the decision by the Commonwealth troika	welcomes
decision-14	welcomes-12	-dobj
Goff said that while he welcomed the suspension, it appeared it had been done reluctantly.	the suspension	welcomed
suspension,-8	welcomed-6	-dobj
Tsvangirai had earlier suggested that "Mbeki and Obasanjo are not going to allow that (suspension), they are going to present a position that the Zimbabweans are talking, so there may be a deferment of any action."	allow that (suspension)	are not going to
allow-13	going-11	-xcomp
The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West.	the poll	had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe
poll-5	marred-8	-nsubjpass
The report concluded the poll had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe, a conclusion also reached by the Zimbabwean opposition and much of the West.	the poll	had been marred by violence, intimidation and suspect electoral practices designed to benefit Mugabe
poll-5	marred-8	-nsubjpass
In his inauguration speech on Sunday, Mugabe promised to accelerate his controversial land reforms begun in July 2000, which aim to resettle blacks on white-owned farms in a bid to reverse colonial-era injustices.	resettle blacks on white-owned farms	aim to
resettle-22	aim-20	-xcomp
In his inauguration speech on Sunday, Mugabe promised to accelerate his controversial land reforms begun in July 2000, which aim to resettle blacks on white-owned farms in a bid to reverse colonial-era injustices.	accelerate his controversial land reforms	promised to
accelerate-10	promised-8	-xcomp
The land reforms have been marred by political violence led by liberation war veterans who support Mugabe.	Mugabe	support
Mugabe.-17	support-16	-dobj
Most international observer groups have condemned the conduct of the poll, as have many Western governments, notably Britain and the United States.	the conduct of the poll	have condemned
conduct-8	condemned-6	-dobj
Most international observer groups have condemned the conduct of the poll, as have many Western governments, notably Britain and the United States.	the conduct of the poll	have condemned
conduct-8	condemned-6	-dobj
Foreign Secretary Jack Straw also praised the decision, saying that "the message could not be clearer."	the decision	praised
decision,-8	praised-6	-dobj
LONDON, March 19 (AFP) - The Commonwealth suspended Zimbabwe for one year on Tuesday, taking action against the regime of President Robert Mugabe a week after controversial elections returned him to power.	the regime of President Robert Mugabe	taking action against
regime-19	against-17	-pobj
But at a summit in Australia earlier this month ahead of the election, Commonwealth leaders postponed action against Harare over its defiant stance on the presence of certain international observers to monitor the voting.	the presence of certain international observers to monitor the voting	defiant stance on
presence-26	on-24	-pobj
Methodist Bishop Purity Malinga on Tuesday echoed the sentiments of South Africa's Independent Electoral Commission (IEC) chairwoman Brigalia Bam that Zimbabwe election did not conform to international standards.	Zimbabwe election	did not conform to international standards
election-22	conform-25	-nsubj
Methodist Bishop Purity Malinga on Tuesday echoed the sentiments of South Africa's Independent Electoral Commission (IEC) chairwoman Brigalia Bam that Zimbabwe election did not conform to international standards.	the sentiments of South Africa's Independent Electoral Commission (IEC) chairwoman Brigalia Bam that Zimbabwe election did not conform to international standards	echoed
sentiments-9	echoed-7	-dobj
She said international observers were treated with suspicion by the police.	international observers	were treated with suspicion
observers-4	treated-6	-nsubjpass
The majority report, endorsed only by the ANC, said the observer mission had noted that over three million Zimbabweans had cast their votes and this substantially represented the will of the people.	The majority report	endorsed
report,-3	endorsed-4	-vmod
Malinga, who represented South African churches on 50-member mission, told journalists during breakfast at the Diakonia Council of Churches in Durban, that she was uncomfortable with the manner in which the team had been treated -- even before they left South Africa.	the manner in which the team had been treated	was uncomfortable with
manner-28	with-26	-pobj
The Inkatha Freedom Party, Democratic Alliance, New National Party, African Christian Democratic Party, the Pan Africanist Congress and the United Christian Democratic Party had disagreed with the ANC conclusion.	the ANC conclusion	had disagreed with
conclusion.-29	with-26	-pobj
"Personally I felt that one is going to be used here, but I nevertheless hoped the presence of outsiders in Zimbabwe would stop some illegal acts which may have been committed."	the presence of outsiders in Zimbabwe would stop some illegal acts which may have been committed	hoped
stop-23	hoped-15	-ccomp
In a preliminary, Motsuenyane declared the Zimbabwe poll "legitimate", adding they could, however, not be openly described as free and fair.	the Zimbabwe poll	legitimate
poll-8	"legitimate",-9	-nsubj
Bam on Sunday said she believed Zimbabwe's election was not free and fair, adding they were not in line with international standards as well as those of her organisation.	Zimbabwe's election	believed Zimbabwe's election was not free and fair
election-8	Zimbabwe's-7	-nn
A Namibian woman member of the Commonwealth observer mission, who is the well-respected, Deputy Speaker of the National Council in her country, held different views to those stated in the interim Commonwealth report that was released only after the election results were known.	A Namibian woman member of the Commonwealth observer mission	well-respected
mission,-9	well-respected,-13	-ref-nsubj-nn
The hand symbolised reconciliation; and Blair accepted it.	it	accepted
it.-8	accepted-7	-dobj
Although the Commonwealth missions nominally operate on the basis of "consensus", she and others of a similar view were dismissed as "troublemakers" by one of the former Secretariat staff-cum-observer.	she and others of a similar view	were dismissed as "troublemakers
others-14	dismissed-20	-nsubjpass
The Commonwealth Secretary-General, Don McKinnon of New Zealand is also known to support his country's decision to condemn Zimbabwe's presidential election.	Zimbabwe's presidential election	decision to condemn
election.-21	condemn-18	-dobj
The Commonwealth leaders, many of them in the first place unable to understand the dispute between Zimbabwe and its former coloniser, Britain, breathed a collective sigh of relief at what they hoped was the beginning of the healing process.	what they hoped was the beginning of the healing process	breathed a collective sigh of relief at
beginning-35	breathed-23	-ccomp
The Commonwealth leaders, many of them in the first place unable to understand the dispute between Zimbabwe and its former coloniser, Britain, breathed a collective sigh of relief at what they hoped was the beginning of the healing process.	was the beginning of the healing process	hoped
beginning-35	hoped-32	-nsubj-prep-pobj-rcmod
Instead, an Australian member of the Federal Parliament, Julie Bishop, vented her anger towards the President and Government, and the electoral process, in Australia's media.	the President and Government, and the electoral process	vented her anger
and-19	anger-13	-cc
The Nigerian leader, President Olusegun Obasanjo, had urged the minister not to attack Blair frontally over Britain's negative position regarding Zimbabwe, but to deal with the presidential election preparations in a dispassionate and precise manner.	Zimbabwe	negative position
Zimbabwe,-21	position-19	-pobj-prep
The Nigerian leader, President Olusegun Obasanjo, had urged the minister not to attack Blair frontally over Britain's negative position regarding Zimbabwe, but to deal with the presidential election preparations in a dispassionate and precise manner.	Blair	attack
Blair-14	attack-13	-dobj
The Nigerian leader, President Olusegun Obasanjo, had urged the minister not to attack Blair frontally over Britain's negative position regarding Zimbabwe, but to deal with the presidential election preparations in a dispassionate and precise manner.	the minister not to attack Blair frontally over Britain's negative position regarding Zimbabwe, but to deal with the presidential election preparations in a dispassionate and precise manner	had urged
minister-10	urged-8	-dobj
The first was that Blair said he had received an interim report from the Commonwealth observer mission to Zimbabwe that condemned the outcome of the presidential election - before Zimbabweans had even had a chance to vote.	the outcome of the presidential election	condemned
outcome-23	condemned-21	-dobj
Presidents Obasanjo and Mbeki, however, have the benefit of their own observer missions to Zimbabwe as well as the support of the vast majority of the Commonwealth.	Presidents Obasanjo and Mbeki	support
Obasanjo-2	support-20	-nsubj-dobj-conj
The Australians, in common with other white members of the Commonwealth, the European Union (EU), the Americans, Norwegians and the Swiss stayed away from that event saying they do not recognise the election and therefore Mugabe as the head of State.	the election and therefore Mugabe as the head of State	do not recognise
election-33	recognise-31	-dobj
Then Mudenge rose to his feet, strode over to Blair and thrust out his hand.	Blair	thrust out his hand
Blair-10	thrust-12	-pobj-prep-conj
But because of their openly hostile position towards the President and Government, the BBC was refused accreditation to cover the presidential election.	the BBC	was refused accreditation to cover the presidential election
BBC-14	refused-16	-nsubjpass
But because of their openly hostile position towards the President and Government, the BBC was refused accreditation to cover the presidential election.	the President and Government	openly hostile position towards
President-10	towards-8	-pobj
The nation should certainly be concerned about the plans to build a rocket launch pad, work on the infrastructure for which is due to start in 2002, with launches beginning from 2004.	the plans to build a rocket launch pad	be concerned about
build-11	concerned-6	-xcomp
Australia's plans to construct a space port on Christmas Island, located just a stone's throw, a mere 500 kilometres south of Jakarta, has concerned some in the Indonesian Government.	Australia's plans to construct a space port on Christmas Island	has concerned
Island,-10	concerned-24	-vmod-ccomp
Although diplomatic overtures to express official objections have not yet been made, the government through the National Space and Flight Agency has already warned of the possible risks facing Indonesia.	the possible risks facing Indonesia	has already warned of
Indonesia.-30	warned-24	-nsubj
"If Australia then denies the claim, we need only demand that Australia produce proof that the space debris did not originate from its space centre activities.	the claim	denies
claim,-6	denies-4	-dobj
In the case of objections to the Christmas Island space station, Indonesia would need to be able to show that damage that has occurred within its territorial area was caused by space objects launched from the Christmas Island station.	the Christmas Island space station	objections to
space-10	to-6	-pobj
Meaning that rather than challenging and issuing objections to the Australian space project, Indonesia should take advantage of our southern neighbour's space activities.	the Australian space project	challenging and issuing objections to
space-12	to-9	-pobj
"Australia is not allowed to prevent other states who want to cooperate on its space centre.	its space centre	want to cooperate on
centre.-16	on-13	-pobj
The army would like to request whoever is engaged in this criminal activity, to stop," he said.	whoever is engaged in this criminal activity	would like to request
engaged-9	request-6	-ccomp
The army would like to request whoever is engaged in this criminal activity, to stop," he said.	whoever is engaged in this criminal activity, to stop	would like to request whoever is engaged in this criminal activity, to stop
engaged-9	request-6	-ccomp
Criticisms of Chavez's governance have been widespread in the democratic world, above all in the past year, in which he has taken to visiting dictators like Castro or Saddam Husayn and writing to terrorists like the famous Carlos, instead of meeting his promises of prosperity and fair shares.	Chavez's governance	Criticisms
governance-4	Criticisms-1	-pobj-prep
It may or may not be to the liking of the Western foreign ministries which shared to some extent Washington's pleasure at the ousting of Hugo Chavez, but the course of events in Venezuela has shown that he has the support of the majority of the population, who want him in the presidency, from which he was deposed and in which he was reinstalled by the military in a confused uprising...	him in the presidency	want
him-50	want-49	-dobj
It may or may not be to the liking of the Western foreign ministries which shared to some extent Washington's pleasure at the ousting of Hugo Chavez, but the course of events in Venezuela has shown that he has the support of the majority of the population, who want him in the presidency, from which he was deposed and in which he was reinstalled by the military in a confused uprising...	he	has the support of
to-7	has-39	-prep-aux-conj-ccomp-ccomp
This possibility and the proliferation of expressions of support for the overthrown leader among the military officers made a change of course advisable, with the forced resignation of Carmona and the even more meteoric period in office of Chavez's vice-president, Diosdado Cabello, who only took up the post in order to give his leader time to reappear.	the overthrown leader	expressions of support for
leader-13	for-10	-pobj
All of this leaves in the air a feeling of military uncertainty, after a two-way trip in 24 hours which will undoubtedly leave deep wounds in armed forces which clearly have not given up their wish to exert a decisive influence in political life.	exert a decisive influence in political life	have not given up their wish
exert-38	given-33	-vmod
All of this leaves in the air a feeling of military uncertainty, after a two-way trip in 24 hours which will undoubtedly leave deep wounds in armed forces which clearly have not given up their wish to exert a decisive influence in political life.	exert a decisive influence in political life	have not given up their wish
exert-38	given-33	-vmod
Iran tried to become more helpful to the United States during the war in Afghanistan, but now that it has been identified as an "evil" it likely will readjust its stance.	become more helpful to the United States during the war in Afghanistan	tried to
become-4	tried-2	-xcomp
For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States.	the three countries	regard the three countries as friends or not evil
countries-8	regard-5	-dobj
For the countries that regard the three countries as friends or not evil, they are considered to be enemies of the United States.	they	are considered to be enemies of the United States
they-14	considered-16	-nsubjpass
Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons.	the three countries	still assist terrorists and seek to develop lethal weapons
countries-18	assist-25	-pobj-prep-dep
Bush deliberate used the term to emphasize to the world the adversarial US position toward the three countries that, according to Washington's claim, still assist terrorists and seek to develop lethal weapons.	the three countries	adversarial US position toward
countries-18	toward-15	-pobj
As reminder, former US President Ronald Reagan used to call the Soviet Union "the Evil Empire."	the Soviet Union	used to call the Soviet Union "the Evil Empire
the-11	"the-14	-det
Whether a country agrees with and regardless of how it views the US policy, the United States is taking the direction that emphasizes its national security and confrontation with the countries that Washington regards as enemies.	the countries	regards as enemies
countries-31	regards-34	-pobj-prep-ccomp
It does not matter where in the world, he will vigorously hunt terrorists down if they are perceived to seek to target the United States.	the United States	seek to target
States.-25	target-22	-dobj
It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well.	his allies to feel the same way about them as well	wants
allies-15	wants-13	-dobj
It is not enough that he sees those countries as evil, he wants his allies to feel the same way about them as well.	those countries	sees those countries as evil
countries-9	sees-7	-dobj
The US naming of North Korea may annoy China, given its assistance to the United States in the war in Afghanistan.	The US naming of North Korea	annoy
naming-3	annoy-8	-nsubj-advmod
He claims that he belongs to the good side and whoever is on the other side is the evil that must be destroyed or at least deserves condemnation.	whoever is on the other side	condemnation
is-12	condemnation.-28	-conj-ccomp-conj-dobj
Although the US role is identified as participation in military exercise or as adviser, the real purpose is the soldiers are sent there to participate in missions that the targets are the groups that are regarded as enemies of the United States.	the groups	regarded as enemies of the United States
groups-33	regarded-36	-rcmod
4 February was such a failure that Chavez, even though it pained him, had to accept democratic methods to reach power.	accept democratic methods to reach power	pained him
accept-16	him,-13	-nsubj
President Chavez himself now boasts of having spent 20 years conspiring -- that is, eroding the armed forces' loyalty -- to achieve his goal of conquering power.	conquering power	his goal of
power.-27	of-25	-pobj
This was not the case, and the Venezuelan people rejected him as a coup participant.	him	rejected him as a coup participant
him-11	rejected-10	-dobj
There were numerous deaths, and no one can feel proud of the consequences.	the consequences	feel proud of
consequences.-13	of-11	-pobj
Comparing it with 19 April 1810 is another armed coup and must be rejected with all determination by the academies and by those who in one way or another must preserve our historical legacy from adulteration or deceitful use.	Comparing it with 19 April 1810	rejected with all determination
Comparing-1	determination-17	-nsubj
The reason for this is simple: He has to respect the democratic rules of the game, the freedom of expression that causes him so many nightmares, the presence of the fundamental institutions of the nation whose right to exist he denies.	the freedom of expression	causes him so many nightmares
expression-20	causes-22	-rcmod
The reason for this is simple: He has to respect the democratic rules of the game, the freedom of expression that causes him so many nightmares, the presence of the fundamental institutions of the nation whose right to exist he denies.	the democratic rules of the game, the freedom of expression that causes him so many nightmares, the presence of the fundamental institutions of the nation whose right to exist he denies	has to respect
freedom-18	respect-10	-xcomp
The reason for this is simple: He has to respect the democratic rules of the game, the freedom of expression that causes him so many nightmares, the presence of the fundamental institutions of the nation whose right to exist he denies.	the fundamental institutions of the nation whose right to exist	denies
exist-39	denies.-41	-xcomp
That was what happened in 1998, and still today, Chavez gives constant demonstrations of discontent and irritation at having been democratically elected.	having been democratically elected	discontent and irritation at
elected.-22	at-18	-pcomp
If he wants to look for a comparison, maybe he would find one in the likewise thwarted coup by Colonel Pedro Carujo against Jose Maria Vargas.	look for a comparison	wants to
look-5	wants-3	-xcomp
He wants to disguise the failed date of 4 February to create the collective illusion of a military victory, which would permit him to govern us from Miraflores as if he really had reached power that day.	disguise the failed date of 4 February	wants to
disguise-4	wants-2	-xcomp
Oddly enough, speculations swirled in Washington that Powell listened to President Bush's speech and his threats to "the axis of evil" like any other US citizen.	the axis of evil	threats to
"the-18	to-17	-aux
He does not want to repeat his father's mistake, being defeated in the next elections because of economic factors.	repeat his father's mistake, being defeated in the next elections because of economic factors	does not want to
repeat-6	want-4	-xcomp
US Secretary of State Colin Powell, described as one of the few enlightened officials in President Bush's administration, is trying to "patch up" President Bush's statements, especially his latest one in which he made reckless threats at the "axis of evil," namely Iran, Iraq and North Korea.	the "axis of evil," namely Iran, Iraq and North Korea	made reckless threats at
"axis-39	at-37	-pobj
At any rate, Secretary Powell's remark about the US administration's readiness to enter dialogue with these "evil" states and with Washington's friends on ways of dealing with them involves some contradictions.	these "evil" states	readiness to enter dialogue with
states-18	with-15	-pobj
The fact that he subsequently denied these speculations does not mean they are baseless.	these speculations	subsequently denied
speculations-8	denied-6	-nsubj-ccomp
A day after President Bush's threat to crush these countries and use all means to prevent them from developing weapons of mass destruction, Secretary Powell said before the Senate Foreign Relations Committee that "characterizing these counties as the axis of evil does not mean that his government intends to invade them."	these countries	threat to crush
countries-10	crush-8	-dobj
He added: "We are prepared to initiate a dialogue, and we want to work with our friends and allies in the world on ways of dealing with such regimes."	work with our friends and allies in the world on ways of dealing with such regimes	want to
work-14	want-12	-xcomp
This mentality simultaneously raises apprehensions and resentment, because international economic prosperity can be built on stability, not wars.	This mentality	raises apprehensions and resentment
mentality-2	raises-4	-nsubj
The United States is currently run by a typical Texan mentality, which is closer to that of cowboys than to a civilized mentality that believes in dialogue and coexistence among peoples.	dialogue and coexistence among peoples	believes in
among-30	believes-25	-prep
He noted: "The opposition is succeeding at portraying an image of Venezuela that scares away investors and triggers domestic turmoil to request the intervention of foreign powers in the country."	an image of Venezuela	scares away
image-10	scares-14	-rcmod
He noted: "The opposition is succeeding at portraying an image of Venezuela that scares away investors and triggers domestic turmoil to request the intervention of foreign powers in the country."	the intervention of foreign powers in the country	request
intervention-24	request-22	-dobj
Arzola added: Any recommendation by a country friendly to Venezuela, especially a country that is Venezuela's No.1 trade partner, must be heeded, as well as recommendations by the Church and the nation, which is demanding a rectification.	a rectification	demanding
rectification.-37	demanding-35	-dobj
Mostly, they accused Washington of violating national sovereignty after the US ranking official voiced an opinion about Venezuela's foreign policy and questioned the democratic nature of the administration of Hugo Chavez.	the administration of Hugo Chavez	questioned the democratic nature of
administration-28	of-26	-pobj
Mostly, they accused Washington of violating national sovereignty after the US ranking official voiced an opinion about Venezuela's foreign policy and questioned the democratic nature of the administration of Hugo Chavez.	Washington	accused Washington of violating national sovereignty
Washington-4	accused-3	-dobj
He indicated: "These reports have tried to suggest the existence of ties between Miraflores [Presidential Palace] and terrorist groups: There are documents presumably drafted by the FAN [National Armed Forces] expressing discontent with the government; the video disclosed by the journalists; and [Justice First Deputy] Gerardo Blyde's remarks on the creation of militia groups trained by the guerrillas.	the government	expressing discontent with
government;-35	with-33	-pobj
The opposition seeks intervention or blockade	intervention or blockade	seeks
intervention-4	seeks-3	-dobj
He added: "There is no reason for any country to request the agreement of others to determine its conduct and adopt its decisions."	the agreement of others	request
agreement-13	request-11	-dobj
As for the criticisms of the destinations of the presidential trips, she remarked: "In addition to the fact that we do not have to ask anyone for permission to decide where and when we should visit a country, the President has visited countries with which we have direct trade relations, countries that are OPEC members, with the specific objective of strengthening our economy."	the destinations of the presidential trips	the criticisms of
destinations-7	of-5	-pobj
As for the criticisms of the destinations of the presidential trips, she remarked: "In addition to the fact that we do not have to ask anyone for permission to decide where and when we should visit a country, the President has visited countries with which we have direct trade relations, countries that are OPEC members, with the specific objective of strengthening our economy."	strengthening our economy	the specific objective of
strengthening-61	of-60	-pcomp
Thus, Carreno excused the White House official, whom - he argued - was misled by the smear campaign and information sabotage that has been unleashed against Chavez in the country and abroad.	the White House official	was misled by the smear campaign and information sabotage that has been unleashed against Chavez in the country and abroad
official,-7	misled-14	-rcmod
All this has sounded the alarm for the US Executive and suits the opposition's objectives to bring about an intervention or a blockade, which would hurt the people it claims to defend."	the people	claims to defend
people-28	claims-30	-rcmod
All this has sounded the alarm for the US Executive and suits the opposition's objectives to bring about an intervention or a blockade, which would hurt the people it claims to defend."	bring about an intervention or a blockade	objectives to
bring-17	objectives-15	-nsubj
All this has sounded the alarm for the US Executive and suits the opposition's objectives to bring about an intervention or a blockade, which would hurt the people it claims to defend."	All this	sounded the alarm
this-2	sounded-4	-nsubj
The report cites Convergence Deputy Alejandro Arzola saying that Powell's position clearly reflects the concern that exists in the international community and Latin America over the Venezuelan situation: the atmosphere of conflict and the threats against freedom of expression, democracy, and legal security.	the Venezuelan situation	concern that exists in the international community and Latin America over
situation:-28	over-25	-pobj
He took one further step and invited Powell to visit Venezuela to see what is really happening.	Powell	invited Powell to visit Venezuela to see what is really happening
Powell-8	invited-7	-dobj
She stated: "We are quite respectful of the decisions made by Washington, even if we do not agree with them.	the decisions made by Washington	are quite respectful of
decisions-9	of-7	-pobj
The deputy said that Powell's remarks did not surprise him and added that the US official's opinion is based on reports published by the domestic and international press, which is waging a ruthless war against the Venezuelan chief of state.	the Venezuelan chief of state	waging a ruthless war against
chief-38	against-35	-pobj
If to this, we add the President's constant aggressive attitude and readiness to establish ties between Venezuela and parasitic economies that give us nothing, but fulfill his political commitments, we will very likely continue to lose our edge in the US market."	establish ties between Venezuela and parasitic economies	readiness to
establish-14	to-13	-aux
We respect the sovereignty of all countries and this is why we demand respect for ours."	ours	respect for
ours."-16	for-15	-pobj
We respect the sovereignty of all countries and this is why we demand respect for ours."	the sovereignty of all countries	respect
sovereignty-4	respect-2	-nsubj-ccomp
He accused the four journalists of plotting with powerful economic groups that presumably contributed the funds to purchase the video from an intelligence agent.	the four journalists	accused the four journalists of plotting with powerful economic groups that presumably contributed the funds to purchase the video from an intelligence agent
journalists-5	accused-2	-dobj
Last Tuesday, before the US Senate's Foreign Policy Committee, Powell voiced his concern over "several actions by President Chavez and his ideas of what is a democratic system."	several actions by President Chavez and his ideas of what is a democratic system	voiced his concern over
by-17	voiced-11	-prep
However, he did explain that he is more concerned about reports that Venezuela has relations with organizations categorized as terrorist by the Bush administration than he is about Powell's statement.	reports that Venezuela has relations with organizations categorized as terrorist by the Bush administration	more concerned about
has-14	concerned-9	-ccomp
However, he did explain that he is more concerned about reports that Venezuela has relations with organizations categorized as terrorist by the Bush administration than he is about Powell's statement.	organizations	categorized as terrorist
organizations-17	categorized-18	-vmod
He also criticized the visits by the chief of state to countries that are on the black list of supporters of terrorism, published by the administration of President George W. Bush, including Cuba, Libya, and Iraq.	the visits by the chief of state to countries that are on the black list of supporters of terrorism, published by the administration of President George W. Bush, including Cuba, Libya, and Iraq	criticized
visits-5	criticized-3	-dobj
I do wish that Burns's statements reflect a true position that signals a return of balance to the US position in dealing with the reality of Palestinian-Israeli struggle.	Burns's statements reflect a true position that signals a return of balance to the US position in dealing with the reality of Palestinian-Israeli struggle	do wish
reflect-7	wish-3	-ccomp
Sharon and Ben Eliezer never stopped to consider that no patriotic Palestinian could accept to serve as a substitute agent to Israel.	serve as a substitute agent to Israel	could accept to
serve-16	accept-14	-xcomp
With this attitude, Sharon's government showed its true hostility for a leader and chairman elected by his people.	a leader and chairman elected by his people	showed its true hostility for
leader-12	for-10	-pobj
This foretells that the Israeli occupation's claims will inevitably falls, no matter how long Sharon humiliates Arab dignity, relaying on the protection and support of Washington, which forgot all principles and role in defending justice, and international legitimacy.	the Israeli occupation's claims	support
claims-7	support-24	-nsubj-advmod-dep-dobj-vmod-prep-pobj-conj
He has called for helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority, who could accept its terms to "assassinate' the rights of Palestinians.	helping aggressive Israel to put a traitorous agent at the head of the Palestinian Authority	has called for
helping-5	for-4	-pcomp
It is only natural, with the guerilla operations successively occur, even inside the fortified settlements, that the world begins to wonder whether the accusations that Arafat was planning, and instructing attacks on Israeli targets despite his captivity, and the round-the-clock Israeli surveillance, were founded.	Arafat	accusations that Arafat was planning, and instructing attacks on Israeli targets
Arafat-26	planning,-28	-nsubj
The medic blamed the outbreak on congestion in the slums and failure to observe basic hygienic practices.	congestion in the slums and failure to observe basic hygienic practices	blamed
observe-14	blamed-3	-vmod
The medic blamed the outbreak on congestion in the slums and failure to observe basic hygienic practices.	the outbreak	blamed the outbreak on congestion in the slums and failure to observe basic hygienic practices
outbreak-5	blamed-3	-dobj
Bush's description of Iran, Iraq and DPRK as "axis of evil" has courted strong criticism from the three countries as well as some of its allies.	Bush's description of Iran, Iraq and DPRK as "axis of evil"	strong criticism from
description-2	criticism-15	-dep-dobj
Daschle's criticism was the first from a leading Democrat since Bush delivered his State of the Union address to Congress in which he used the word of "axis of evil" to label Iran, Iraq and the DPRK.	Iran, Iraq and the DPRK	used the word of "axis of evil" to label
Iraq-34	label-32	-dobj
Washington, February 11 (XINHUA) -- US Senate Majority leader Tom Daschle criticized on Monday President George W. Bush for his remarks that described Iran, Iraq and the Democratic People's Republic of Korea (DPRK) as "axis of evil".	President George W. Bush for his remarks that described Iran, Iraq and the Democratic People's Republic of Korea (DPRK) as "axis of evil"	criticized
Bush-18	criticized-12	-pobj-prep
Police stressed they had stepped up farm inspections across the region of Campania amid heightened concern over illegal slaughtering practices in the wake of Italy's first suspected case of vCJD - the fatal brain-wasting human form of BSE.	illegal slaughtering practices	heightened concern over
practices-20	over-17	-pobj
His comments were immediately contested by meat industry representatives and vet associations but the opposition Green party said yesterday there was evidence that illegal slaughtering practices were on the rise in several southern regions such as Campania, Sicily and Puglia and that the meat was entering the food chain.	His comments	were immediately contested
comments-2	contested-5	-nsubj
Federico Piccoli, a top neurologist at Palermo hospital who is helping to treat the woman, immediately warned that further cases of vCJD in Sicily were only to be expected because "the illegal slaughter of animals still goes on here".	further cases of vCJD in Sicily were only to be expected	warned
only-26	warned-17	-ccomp
The Sudanese government had always denied that the boat belonged to the army.	the boat	had always denied that the boat belonged to the army
boat-9	the-8	-det
Lebanese officials have avoided publicly commenting on the new message from Washington.	publicly commenting on the new message from Washington	have avoided
publicly-5	avoided-4	-advmod
According to a government official in contact with US politicians recently, hostility toward Hizbullah has grown tremendously in recent months within the US administration.	Hizbullah	hostility toward
Hizbullah-14	toward-13	-pobj
Lebanese authorities expect the United States to curb such Israeli infractions, the official source added, rather than adopt Israeli claims and seek security for the Jewish state.	security for the Jewish state	seek
security-23	seek-22	-dobj
Washington has expressed concern to the Lebanese authorities about the possibility of a Hizbullah attack against Israel within the next couple of days, and requested that efforts be deployed to prevent such a development, official sources disclosed Friday.	the possibility of a Hizbullah attack against Israel within the next couple of days	has expressed concern to the Lebanese authorities about
against-16	expressed-3	-prep
TAIPEI, Feb 17 (AFP) - Taiwan is keeping a wary eye on US President George W. Bush's China visit despite assurances by Washington that Taipei's interests would not be traded away during the trip.	US President George W. Bush's China visit	is keeping a wary eye on
visit-19	on-12	-pobj
Wu defended the government's cautious approach warning that Beijing could try to use the situation to gain the upper hand.	Beijing could try to use the situation to gain the upper hand	warning
Beijing-9	warning-7	-nsubj-ccomp-dobj
The sale infuriated Beijing which regards Taiwan an integral part of its territory awaiting reunification, by force if necessary.	The sale	infuriated
sale-2	infuriated-3	-nsubj
Taipei was angered when then-president Bill Clinton pledged the "three nos" during his China visit in 1998.	when then-president Bill Clinton pledged the "three nos" during his China visit in 1998	was angered
pledged-8	angered-3	-advcl
Clinton said he did not support independence for Taiwan, the policy of "two Chinas" or "one China, one Taiwan" and agreed that Taiwan should not be a member of any organisation to which statehood is a requirement.	independence for Taiwan, the policy of "two Chinas" or "one China, one Taiwan"	did not support
independence-7	support-6	-dobj
Wu said he believed overall Taiwan interests were protected from knocks by the Bush administration because of the island's "strong support" from decision-makers in the White House, State Department and Department of Defense.	the island	strong support
